id,x,y
1,-179.37507984258593,84.53499145944596
2,-151.78778675490858,28.9737265990356
3,-213.50096026120616,73.95570950107668
4,-130.04131087348213,-13.367947493952173
5,-203.38651984907008,103.922742304157
6,-187.4408676884926,57.00945822319319
7,-166.1666813962375,26.13558095789024
8,-174.50890285859776,60.32168609995315
9,-154.39909122887195,14.761866833062804
10,-209.2369492743084,89.00306224940275
11,-216.6952732404969,99.87501488490872
12,-141.31431936266011,36.42372269826066
13,-191.88839708025583,35.2400180773485
14,-200.3081118841514,78.1930923570849
15,-145.28019867991907,-11.53116535466485
16,-187.3405092727756,72.05626201870685
17,-157.2442630322762,63.146441236574354
18,-162.34546969083715,5.17735978080308
19,-151.0962813779465,45.56574463671649
20,-129.98861938545494,-3.4718635588868665
21,-165.13843889059126,38.46354619542515
22,-197.05613876344256,46.42947538644342
23,-138.35278262368658,18.45316873043764
24,-179.83810932563975,42.69042785073373
25,-195.2007844086745,90.39244716057614
26,-201.92435322112004,62.840835136806405
27,-216.68736341674636,113.36363260521664
28,-158.0498633757764,78.05257069274992
29,-181.2485629071647,25.81702127377158
30,-171.17381942036232,14.901683786962876
31,-197.4135206734477,116.4395129635758
32,-170.512846877525,73.38098361472824
33,-143.57660403266473,3.8295283391485953
34,-164.23598658858714,51.50308974405559
35,-222.16535887232828,83.72154756216071
36,-250.58106809388275,-1.8144028829048315
37,-295.638788023175,46.40596158012463
38,-224.28021965690715,-50.03113269959444
39,-297.98233296112454,9.050496388908645
40,-260.48493301554,-29.81755168457021
41,-274.16909390194934,20.55975404778385
42,-237.19146640094613,-36.346639145731984
43,-308.56654314843314,72.40740666435843
44,-325.7662444991102,36.5740332843078
45,-314.53967875058663,30.703329405183663
46,-217.0241034596976,-17.312984845157363
47,-279.0476566004665,7.460097434506691
48,-209.4812547932111,-43.33022332280993
49,-249.6065347738856,13.10078730613514
50,-268.99814974400846,34.2038637923018
51,-240.39498429232563,-50.4898900332951
52,-238.4233410736645,-9.581031200734952
53,-197.1021977816543,-50.97517127245513
54,-271.54007350303107,-5.382959212226899
55,-246.2317298505592,-22.50914764504805
56,-289.3395379794967,20.46470648428792
57,-259.4013872015586,23.79185060944187
58,-205.8350120927472,-59.4323552463747
59,-320.9711929796816,59.83277984210608
60,-320.4494724807984,17.744613403623976
61,-305.5982109139969,57.35516323814953
62,-250.22844745605067,-39.69318987802235
63,-264.0583404809932,7.459768708686947
64,-299.68525257374193,34.047362625340455
65,-313.1626216213742,7.763582329466923
66,-259.78701552372434,-14.434040215417806
67,-211.89686766878265,-27.603507388314664
68,-313.84399024854594,45.36831913497399
69,-304.72700287613327,20.90132762535345
70,-284.72869782463454,34.41515786846547
71,-230.03375270739696,-21.74408448436569
72,-290.8551289229443,0.3057340323370314
73,-222.8320050206933,-35.757849913581424
74,-519.0813924253943,-109.57109522776312
75,-561.1431410880515,-69.2818384439846
76,-527.8054295194893,-82.63092648895626
77,-489.2784154476468,-134.02747617041052
78,-544.0941715486821,-98.21059396709244
79,-532.4860996506022,-110.33843719738624
80,-504.8081216169135,-107.02849252562764
81,-542.6037185784038,-84.89092824498766
82,-516.5901258473848,-95.41481429062516
83,-510.9978761430581,-121.20501701594536
84,-530.7094787679582,-96.51796135999784
85,-551.5775966501357,-76.28219509470432
86,-499.0244832448119,-120.02881793828608
